pixel	count
2408	13686
2409	13847
2410	14071
2411	13213
2412	11798
2413	12865
2414	13346
2415	13792
2416	13273
2417	13795
2418	12998
2419	12766
2420	13091
2421	12918
2422	12027
2423	12106
2424	12148
2425	11697
2426	11692
2427	12110
2428	11811
2429	11273
2430	11307
2431	11662
2432	11696
2433	11536
2434	11971
2435	12143
2436	12450
2437	12428
2438	13312
2439	11899
2440	10660
2441	10936
2442	10140
2443	7576
2444	7121
2445	7065
2446	6916
2447	6334
2448	6541
2449	6297
2450	6678
2451	6728
2452	7157
2453	7780
2454	8632
2455	8456
2456	8200
2457	8257
2458	8714
2459	8338
2460	9006
2461	12434
2462	14172
2463	14613
2464	15311
2465	16960
2466	20994
2467	20548
2468	20639
2469	21657
2470	21072
2471	20997
2472	19861
2473	18066
2474	20233
2475	20331
2476	21601
2477	19478
2478	22267
2479	22119
2480	21735
2481	21201
2482	19960
2483	21155
2484	21239
2485	20933
2486	19493
2487	21687
2488	21333
2489	21025
2490	22866
2491	23746
2492	23376
